"","label","spotify_id","title","artist","key","mode","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","valence","tempo"
107,"upbeat","5xz9GcQI6wDVjSFneT8J6n","Don't Trust Me","the booyah! kids",3,1,0.479,0.71,0.6990000000000001,0.00255,0.0967,-9.472000000000001,0.0502,0.8420000000000001,108.976
108,"somber","4f8Mh5wuWHOsfXtzjrJB3t","I THINK","Tyler, The Creator",8,0,0.00881,0.826,0.579,0.0,0.129,-8.241,0.0801,0.431,121.075
109,"energizing","4kbj5MwxO1bq9wjT5g9HaA","Shut Up and Dance","WALK THE MOON",1,1,0.00701,0.578,0.866,0.0,0.257,-3.804,0.0619,0.619,128.03799999999998
110,"sentimental","5YLnfy7R2kueN0BRPkjiEG","I'll Take You There","The Staple Singers",0,1,0.0904,0.846,0.595,1.96e-06,0.063,-8.372,0.0439,0.78,101.632
111,"sentimental","4sqHszlsjKzLYTAnJpB1E0","Separate Ways","Nox Holloway",1,0,0.251,0.654,0.61,0.17800000000000002,0.105,-7.305,0.0366,0.5820000000000001,90.02
112,"somber","6olUplztLFFfU7fMYmFXOP","Sober","Childish Gambino",0,1,0.0972,0.6990000000000001,0.601,1.17e-05,0.562,-6.48,0.0304,0.434,98.04
113,"sentimental","2xr6hgirnm0sfEvgNgzGCI","In It","Jeffrey East",8,1,0.263,0.733,0.46,0.0,0.0495,-10.948,0.16399999999999998,0.746,155.94799999999998
114,"aggressive","04rpiXwJmiOr2eWaayrcts","You Could Have Been the One","Coasts",11,1,0.0106,0.499,0.8809999999999999,0.0,0.0887,-5.577999999999999,0.0588,0.47700000000000004,122.10700000000001
115,"sentimental","297rZsBEjFw9d0Gl3iBLnd","Goodie Bag","Still Woozy",7,0,0.82,0.701,0.529,0.0011300000000000001,0.249,-12.242,0.147,0.5770000000000001,138.216
116,"sensual","78nplE9X2ZGvQh3TKgvldE","Rewrite The Stars (with James Arthur & Anne-Marie)","James Arthur",10,1,0.237,0.67,0.743,0.0,0.465,-4.993,0.0393,0.5710000000000001,125.944
117,"somber","2iQYqdalv245vrCEM4W9N9","NFWMB","Hozier",3,0,0.895,0.379,0.373,0.0718,0.115,-12.175999999999998,0.0309,0.35200000000000004,176.002
